Date;Jour;0-1h;1-2h;2-3h;3-4h;4-5h;5-6h;6-7h;7-8h;8-9h;9-10h;10-11h;11-12h;12-13h;13-14h;14-15h;15-16h;16-17h;17-18h;18-19h;19-20h;20-21h;21-22h;22-23h;23-24h;Total
19/11/2022;7;278;201;140;102;86;139;178;264;412;500;605;602;688;691;728;650;661;650;638;720;508;398;350;380;10569
20/11/2022;1;357;226;190;117;113;99;150;129;223;283;414;521;620;599;539;504;550;594;594;563;478;349;251;187;8650
21/11/2022;2;154;72;56;34;64;133;275;448;671;691;703;721;688;815;729;725;849;971;889;832;623;317;266;232;11958
22/11/2022;3;138;94;56;36;69;162;294;481;724;674;731;759;807;833;793;813;990;1019;912;890;620;337;344;271;12847
23/11/2022;4;182;104;64;42;70;152;270;467;717;672;683;613;759;822;817;867;945;838;835;871;637;410;295;220;12352
24/11/2022;5;171;92;77;52;66;160;278;494;758;670;608;622;657;772;790;741;943;959;901;857;597;401;335;281;12282
25/11/2022;6;219;114;79;59;68;161;298;486;794;700;698;715;767;801;815;832;899;895;843;805;606;420;349;295;12718
26/11/2022;7;281;170;113;82;94;119;172;265;389;524;594;679;687;689;756;634;706;613;574;605;491;375;336;362;10310
27/11/2022;1;331;263;190;104;99;102;156;155;203;274;460;481;583;552;518;541;503;566;560;723;440;328;271;221;8624
28/11/2022;2;150;93;56;39;53;136;273;454;697;645;690;651;774;804;744;792;870;987;914;780;531;285;306;210;11934
30/11/2022;4;195;107;66;56;57;155;246;477;696;684;693;503;788;833;775;815;811;928;921;823;624;357;285;268;12163
01/12/2022;5;154;87;60;46;47;176;271;489;710;712;693;717;754;796;778;796;904;907;909;909;627;381;328;274;12525
02/12/2022;6;184;27;67;58;67;177;278;525;826;714;739;698;780;958;803;849;827;924;841;711;589;373;354;337;12706
03/12/2022;7;266;203;103;95;78;119;204;248;419;455;600;635;663;660;717;24;658;615;596;646;537;374;356;358;9629
04/12/2022;1;341;259;164;111;101;96;160;152;202;296;465;512;574;545;578;572;527;499;594;561;444;339;300;188;8580
05/12/2022;2;128;78;41;39;52;141;295;431;691;739;642;655;699;804;754;784;992;1057;913;848;567;352;305;205;12212
06/12/2022;3;170;79;72;41;65;181;280;509;734;725;686;716;770;837;834;776;952;942;901;860;670;354;344;253;12751
07/12/2022;4;165;96;74;52;52;172;294;445;638;721;683;713;734;771;793;793;902;938;843;897;613;416;307;254;12366
08/12/2022;5;194;103;74;61;61;166;298;493;734;712;700;703;790;740;756;831;923;982;916;805;628;399;306;302;12677
09/12/2022;6;208;136;101;58;70;170;294;510;746;680;716;667;736;834;785;901;916;824;841;797;571;384;290;328;12563
10/12/2022;7;270;161;119;85;90;116;207;226;389;517;646;660;683;645;683;695;657;575;651;641;447;283;344;357;10147
11/12/2022;1;340;239;163;119;101;111;160;131;245;283;441;492;610;532;521;509;537;578;631;526;464;349;288;206;8576
12/12/2022;2;152;88;55;42;57;126;269;483;706;661;721;672;765;766;713;784;977;1010;972;818;635;369;286;347;12474
13/12/2022;3;183;92;62;48;61;155;300;449;729;833;810;724;847;824;830;965;992;1128;1020;872;668;355;316;252;13515
14/12/2022;4;170;90;60;47;61;149;297;461;48;637;665;713;752;823;795;826;892;871;899;865;384;201;369;289;11364
15/12/2022;5;188;125;72;53;70;157;306;480;727;695;628;663;740;747;744;857;959;957;843;778;639;395;306;305;12434
17/12/2022;7;297;192;97;100;90;126;183;254;305;445;596;613;605;628;632;557;577;564;607;625;505;404;311;297;9610
18/12/2022;1;262;253;151;104;77;87;140;147;179;272;436;485;550;527;531;684;440;318;268;512;531;391;294;240;7879
19/12/2022;2;157;101;53;43;57;131;238;363;595;591;617;608;686;679;724;729;818;883;771;757;587;325;265;238;11016
20/12/2022;3;169;85;54;50;67;131;272;412;608;644;631;666;659;704;691;764;898;809;843;713;550;406;293;267;11386
21/12/2022;4;204;111;59;56;69;156;258;393;571;657;655;672;703;728;708;765;755;802;803;738;555;405;285;279;11387
22/12/2022;5;182;87;73;61;71;128;253;354;544;642;645;659;720;654;744;716;772;737;764;719;575;385;298;254;11037
23/12/2022;6;233;133;77;70;62;153;279;414;570;602;638;738;696;707;787;777;855;683;693;633;446;342;295;293;11176
24/12/2022;7;200;139;100;89;69;122;159;172;299;387;471;554;523;542;567;501;546;590;597;647;404;236;217;242;8373
